C1989929-65E7-4308-BF56-7C8E657CBC17,AmdCpmWifiBandRf
849E502A-75B6-4F9C-AD12-1E01F1DC0C40,AmdAgesaParameterGroupPei
3F4CDD2B-A713-4443-A253-7EB22B71730E,BctBaseSmmRPL
9622E42C-8E38-4A08-9E8F-54F784652F6B,AcpiTableDxe
87EA012D-CBAD-44C1-8431-61193A060941,PeriodicSmiControl
1BA0062E-C779-4582-8566-336AE8F78F09,Volume Top File
AB7ED12E-1D78-4635-AB87-23F00A911EC7,RomLayoutDxe
2848A12F-3F86-47C7-81D8-D3FD47B205B2,CbsSetupDxeRPL
29D40F30-E8BF-4803-88A6-4247A29A5318,AmdVersionDxe
316B1230-0500-4592-8C09-EABA0FB6B078,SmmPcieSataController
316B1230-0500-4592-8C09-EABA0FB6B07F,SmmHddSecurity
48569430-485F-4ACC-A184-B35D11CB7560,AmdCpmUcsiDxe
67820532-7613-4DD3-9ED7-3D9BE3A7DA63,Aint13
90DDA332-2600-4808-9689-F5C48F2D6F6E,SkOcPhxDxe
2688B232-9C02-4C12-BE1F-857C0FF2AAE3,TcgDxeplatform
50578334-FCFD-4DCA-B3AF-47DD76E946CF,AmdNbioDxe
838DCF34-907B-4D55-9A4B-A0EF7167B5F4,NvramPei
33FB3535-F15E-4C17-B303-5EB94595ECB6,SmmLockBox
41B13735-0E0A-4F67-96D1-B15DA28205FA,SkNct6796DDxe
B7EE4835-84CE-4B15-BF52-2D11574CE470,HardwareSignatureEntry
CCDF4E35-4C7F-4C7B-B3FF-58373C3AAC25,ProjectDxe
B981A835-6EE8-4F4C-AE0B-210AA0BFBF01,RngDxe
C9A6DE36-FDFF-4FAF-8343-85D9E3470F43,NvmeInt13
DEF30E37-7AEC-4F69-91A2-CF099E2729F2,PciTableInit
07393E37-7104-48D9-88F0-FB8A501E167B,ApobGnrPei
E9312938-E56B-4614-A252-CF7D2F377E26,AmiTcgPlatformPeiBeforeMem
E2A74738-8934-48F5-8412-99E948C8DC1B,SmbiosDmiEdit
79839D38-DD05-489C-B3EF-F27BDA08E572,AmiAgesaSxSmi
B13EDD38-684C-41ED-A305-D7B7E32497DF,Smbios
C27B193A-D076-4AC6-8DA1-7AC67B4ACA06,ProjectPei
3924C33A-125E-40A8-8450-38C6671E021D,AmdNbioPei
1925903D-3FAA-4A91-A257-448F4513B309,AmdNbioPciePei
7A9AF73D-7BD1-0694-E217-528232E9D368,Smart80PortPei
EF9A853E-2DF3-48ED-91E5-6232668C4DB1,CbsSetupSmmPhx
